date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:30:07	6982/6982	---M--	200	added ('OK')	image/png	etag:%2288936b3e3966ea3c722b22c4206b4268-ssl%22	https://andrewborstein.com/assets/img/si-logo.png	C:/Mis%20lugares%20Web/test/andrewborstein.com/assets/img/si-logo.png	(from https://andrewborstein.com/)
13:30:08	63/63	---M--	301	error ('Moved%20Permanently')	text/plain	date:Thu,%2013%20Feb%202020%2016:30:13%20GMT	http://andrewborstein.com/startupinstitute.com	C:/Mis%20lugares%20Web/test/andrewborstein.com/startupinstitute.14.delayed	(from https://andrewborstein.com/)
13:30:08	2785/2785	---MC-	404	error ('Not%20Found')	text/html	etag:1567451671-ssl	https://andrewborstein.com/startupinstitute.com	C:/Mis%20lugares%20Web/test/andrewborstein.com/startupinstitute.com	(from https://andrewborstein.com/)
13:30:08	4230/4230	---M--	200	added ('OK')	image/png	etag:%22dcad602276d965b1d9eb1ce2ef08e075-ssl%22	https://andrewborstein.com/assets/img/brownborg-logo.png	C:/Mis%20lugares%20Web/test/andrewborstein.com/assets/img/brownborg-logo.png	(from https://andrewborstein.com/)
13:30:08	8471/8471	---M--	200	added ('OK')	image/png	etag:%220d0ae9d6c160c518c0bbe313904ddeca-ssl%22	https://andrewborstein.com/assets/img/equal-access-ri.png	C:/Mis%20lugares%20Web/test/andrewborstein.com/assets/img/equal-access-ri.png	(from https://andrewborstein.com/)
13:30:08	5258/5258	---M--	200	added ('OK')	image/jpeg	etag:%229479795121aa0e5e10381780511a76b6-ssl%22	https://andrewborstein.com/assets/img/chop.jpg	C:/Mis%20lugares%20Web/test/andrewborstein.com/assets/img/chop.jpg	(from https://andrewborstein.com/)
13:30:09	25936/25936	---M--	200	added ('OK')	image/png	etag:%229f97d9a068b528d656719d31fcf69073-ssl%22	https://andrewborstein.com/assets/img/rhdri-logo.png	C:/Mis%20lugares%20Web/test/andrewborstein.com/assets/img/rhdri-logo.png	(from https://andrewborstein.com/)
13:30:09	14173/14173	---M--	200	added ('OK')	image/png	etag:%22702ebe8893c1ec3f2d0ff5c9c749afc1-ssl%22	https://andrewborstein.com/assets/img/monty-are-i-logo.png	C:/Mis%20lugares%20Web/test/andrewborstein.com/assets/img/monty-are-i-logo.png	(from https://andrewborstein.com/)
13:30:09	63800/63800	---M--	200	added ('OK')	image/jpeg	etag:%228139fd09a0fecdcc9363388fa77459bc-ssl%22	https://andrewborstein.com/assets/img/interpol8r.jpg	C:/Mis%20lugares%20Web/test/andrewborstein.com/assets/img/interpol8r.jpg	(from https://andrewborstein.com/)
13:30:09	171462/171462	---M--	200	added ('OK')	image/jpeg	etag:%220d6a1f6cd9b31397be439deb8db65d9d-ssl%22	https://andrewborstein.com/assets/img/blogspire.jpg	C:/Mis%20lugares%20Web/test/andrewborstein.com/assets/img/blogspire.jpg	(from https://andrewborstein.com/)
13:30:10	15089/15089	---M--	200	added ('OK')	image/jpeg	etag:%2291448cc03631fbc3c08275a540269ddb-ssl%22	https://andrewborstein.com/assets/img/code-island.jpg	C:/Mis%20lugares%20Web/test/andrewborstein.com/assets/img/code-island.jpg	(from https://andrewborstein.com/)
13:30:10	29310/29310	---M--	200	added ('OK')	image/jpeg	etag:%2209550012c43b603fb0e923c00ee948d3-ssl%22	https://andrewborstein.com/assets/img/saved-by-the-text.jpg	C:/Mis%20lugares%20Web/test/andrewborstein.com/assets/img/saved-by-the-text.jpg	(from https://andrewborstein.com/)
13:30:10	33652/33652	---M--	200	added ('OK')	image/jpeg	etag:%22b246595259c801ef684357c2293d2455-ssl%22	https://andrewborstein.com/assets/img/skate-something.jpg	C:/Mis%20lugares%20Web/test/andrewborstein.com/assets/img/skate-something.jpg	(from https://andrewborstein.com/)
